iso3,year,usd,ptype,grp,part,proj,mapped
IRQ,2014,103742377.0,SRP,Protracted crisis (HRP),844.0,2.0,True
SSD,2014,1101369452.0,SRP,Protracted crisis (HRP),1446.0,13.0,True
AFG,2014,406429895.0,SRP,Protracted crisis (HRP),0.0,0.0,False
COD,2014,832097250.0,SRP,Protracted crisis (HRP),1760.0,45.0,True
NER,2014,390922652.0,SRP,Protracted crisis (HRP),5.0,1.0,True
CAF,2014,246772031.0,SRP,Protracted crisis (HRP),635.0,39.0,True
TCD,2014,527350382.0,SRP,Protracted crisis (HRP),2075.0,7.0,True
DJI,2014,74085087.0,SRP,Protracted crisis (HRP),0.0,0.0,False
HTI,2014,168974256.0,SRP,Protracted crisis (HRP),34.0,3.0,True
MLI,2014,568416225.0,SRP,Protracted crisis (HRP),1282.0,6.0,True
PSE,2014,390338824.0,SRP,Protracted crisis (HRP),386.0,2.0,True
MRT,2014,107927077.0,SRP,Protracted crisis (HRP),44.0,1.0,True
SDN,2014,995517357.0,SRP,Protracted crisis (HRP),0.0,0.0,False
YEM,2014,591616992.0,SRP,Protracted crisis (HRP),0.0,0.0,False
BFA,2014,109281921.0,SRP,Protracted crisis (HRP),1853.0,9.0,True
SOM,2014,933070303.0,SRP,Protracted crisis (HRP),0.0,0.0,False
PHL,2014,46758966.0,FA,Flash appeal (sudden onset),2007.0,16.0,True
SYR,2014,2276149354.0,SRP,Protracted crisis (HRP),0.0,0.0,False
EGY,2014,852943542.2,REG,Regional refugee response,0.0,0.0,False
IRQ,2014,852943542.2,REG,Regional refugee response,844.0,2.0,True
JOR,2014,852943542.2,REG,Regional refugee response,0.0,0.0,False
LBN,2014,852943542.2,REG,Regional refugee response,0.0,0.0,False
TUR,2014,852943542.2,REG,Regional refugee response,0.0,0.0,False
PHL,2014,307637263.0,SRP,Protracted crisis (HRP),2007.0,16.0,True
GMB,2014,25983666.0,SRP,Protracted crisis (HRP),0.0,0.0,False
CMR,2014,48462739.0,SRP,Protracted crisis (HRP),552.0,16.0,True
NGA,2014,74860697.0,SRP,Protracted crisis (HRP),1558.0,12.0,True
SEN,2014,122098777.0,SRP,Protracted crisis (HRP),191.0,10.0,True
BFA,2014,5528874.555555556,REG,Regional refugee response,1853.0,9.0,True
CMR,2014,5528874.555555556,REG,Regional refugee response,552.0,16.0,True
GMB,2014,5528874.555555556,REG,Regional refugee response,0.0,0.0,False
MLI,2014,5528874.555555556,REG,Regional refugee response,1282.0,6.0,True
MRT,2014,5528874.555555556,REG,Regional refugee response,44.0,1.0,True
NER,2014,5528874.555555556,REG,Regional refugee response,5.0,1.0,True
NGA,2014,5528874.555555556,REG,Regional refugee response,1558.0,12.0,True
SEN,2014,5528874.555555556,REG,Regional refugee response,191.0,10.0,True
TCD,2014,5528874.555555556,REG,Regional refugee response,2075.0,7.0,True
MMR,2014,192023000.0,SRP,Protracted crisis (HRP),0.0,1.0,True
COG,2014,14269108.0,Other,Other,0.0,0.0,False
ETH,2014,92694291.0,REG,Regional refugee response,71.0,1.0,True
KEN,2014,92694291.0,REG,Regional refugee response,347.0,1.0,True
SDN,2014,92694291.0,REG,Regional refugee response,0.0,0.0,False
UGA,2014,92694291.0,REG,Regional refugee response,104.0,3.0,True
PHL,2014,0.0,FA,Flash appeal (sudden onset),2007.0,16.0,True
GIN,2014,329281384.6666667,REG,Regional refugee response,975.0,20.0,True
LBR,2014,329281384.6666667,REG,Regional refugee response,2441.0,20.0,True
SLE,2014,329281384.6666667,REG,Regional refugee response,2087.0,15.0,True
UKR,2014,33201996.0,FA,Flash appeal (sudden onset),0.0,0.0,False
SSD,2015,1807069154.0,SRP,Protracted crisis (HRP),1698.0,16.0,True
LBY,2015,35738580.0,FA,Flash appeal (sudden onset),0.0,0.0,False
SOM,2015,862579628.0,SRP,Protracted crisis (HRP),0.0,0.0,False
COD,2015,692000000.0,SRP,Protracted crisis (HRP),4008.0,38.0,True
MMR,2015,265044894.0,SRP,Protracted crisis (HRP),116.0,2.0,True
SDN,2015,1035894093.0,SRP,Protracted crisis (HRP),124.0,1.0,True
PSE,2015,705288765.0,SRP,Protracted crisis (HRP),0.0,0.0,False
SYR,2015,2893444593.0,SRP,Protracted crisis (HRP),1.0,1.0,True
AFG,2015,405400000.0,SRP,Protracted crisis (HRP),1118.0,3.0,True
CAF,2015,612958926.0,SRP,Protracted crisis (HRP),104.0,5.0,True
UKR,2015,189125000.0,SRP,Protracted crisis (HRP),0.0,0.0,False
BFA,2015,98761764.0,SRP,Protracted crisis (HRP),806.0,8.0,True
CMR,2015,264023457.0,SRP,Protracted crisis (HRP),611.0,6.0,True
GMB,2015,23687972.0,SRP,Protracted crisis (HRP),65.0,3.0,True
TCD,2015,571597807.0,SRP,Protracted crisis (HRP),318.0,5.0,True
MLI,2015,377381530.0,SRP,Protracted crisis (HRP),41.0,3.0,True
MRT,2015,105171809.0,SRP,Protracted crisis (HRP),1.0,1.0,True
NER,2015,375720263.0,SRP,Protracted crisis (HRP),446.0,2.0,True
SEN,2015,59427358.0,SRP,Protracted crisis (HRP),1047.0,26.0,True
NGA,2015,100263495.0,SRP,Protracted crisis (HRP),3174.0,40.0,True
BFA,2015,1148489.4444444445,REG,Regional refugee response,806.0,8.0,True
CMR,2015,1148489.4444444445,REG,Regional refugee response,611.0,6.0,True
GMB,2015,1148489.4444444445,REG,Regional refugee response,65.0,3.0,True
MLI,2015,1148489.4444444445,REG,Regional refugee response,41.0,3.0,True
MRT,2015,1148489.4444444445,REG,Regional refugee response,1.0,1.0,True
NER,2015,1148489.4444444445,REG,Regional refugee response,446.0,2.0,True
NGA,2015,1148489.4444444445,REG,Regional refugee response,3174.0,40.0,True
SEN,2015,1148489.4444444445,REG,Regional refugee response,1047.0,26.0,True
TCD,2015,1148489.4444444445,REG,Regional refugee response,318.0,5.0,True
YEM,2015,747517644.0,SRP,Protracted crisis (HRP),0.0,0.0,False
GTM,2015,23806581.0,FA,Flash appeal (sudden onset),13.0,1.0,True
EGY,2015,906649651.6,REG,Regional refugee response,0.0,0.0,False
IRQ,2015,906649651.6,REG,Regional refugee response,211.0,1.0,True
JOR,2015,906649651.6,REG,Regional refugee response,0.0,0.0,False
LBN,2015,906649651.6,REG,Regional refugee response,0.0,0.0,False
TUR,2015,906649651.6,REG,Regional refugee response,0.0,0.0,False
HND,2015,13200000.0,FA,Flash appeal (sudden onset),0.0,0.0,False
ETH,2015,219264693.0,REG,Regional refugee response,20.0,2.0,True
KEN,2015,219264693.0,REG,Regional refugee response,360.0,3.0,True
UGA,2015,219264693.0,REG,Regional refugee response,1240.0,10.0,True
DJI,2015,82001876.0,SRP,Protracted crisis (HRP),0.0,0.0,False
VUT,2015,29877779.0,FA,Flash appeal (sudden onset),307.0,2.0,True
PRK,2015,110895000.0,Other,Other,0.0,0.0,False
IRQ,2015,1122873013.0,SRP,Protracted crisis (HRP),211.0,1.0,True
HTI,2015,25520762.0,FA,Flash appeal (sudden onset),1361.0,10.0,True
NPL,2015,437694000.0,FA,Flash appeal (sudden onset),16108.0,42.0,True
LBY,2016,165576804.0,HRP,Protracted crisis (HRP),0.0,0.0,False
BFA,2016,90524923.0,HRP,Protracted crisis (HRP),347.0,2.0,True
CMR,2016,282178352.0,HRP,Protracted crisis (HRP),0.0,0.0,False
TCD,2016,566558928.0,HRP,Protracted crisis (HRP),1037.0,7.0,True
GMB,2016,11454114.0,HRP,Protracted crisis (HRP),14.0,1.0,True
MLI,2016,354052695.0,HRP,Protracted crisis (HRP),84.0,5.0,True
MRT,2016,89209521.0,HRP,Protracted crisis (HRP),0.0,0.0,False
NER,2016,315985017.0,HRP,Protracted crisis (HRP),1.0,2.0,True
NGA,2016,247907718.0,HRP,Protracted crisis (HRP),2061.0,10.0,True
BFA,2016,544444.4444444445,REG,Regional refugee response,347.0,2.0,True
CMR,2016,544444.4444444445,REG,Regional refugee response,0.0,0.0,False
GMB,2016,544444.4444444445,REG,Regional refugee response,14.0,1.0,True
MLI,2016,544444.4444444445,REG,Regional refugee response,84.0,5.0,True
MRT,2016,544444.4444444445,REG,Regional refugee response,0.0,0.0,False
NER,2016,544444.4444444445,REG,Regional refugee response,1.0,2.0,True
NGA,2016,544444.4444444445,REG,Regional refugee response,2061.0,10.0,True
SEN,2016,544444.4444444445,REG,Regional refugee response,167.0,6.0,True
TCD,2016,544444.4444444445,REG,Regional refugee response,1037.0,7.0,True
SEN,2016,19917087.0,HRP,Protracted crisis (HRP),167.0,6.0,True
IRQ,2016,860544743.0,HRP,Protracted crisis (HRP),137.0,3.0,True
SYR,2016,3184409473.0,HRP,Protracted crisis (HRP),336.0,6.0,True
SSD,2016,1285860205.0,HRP,Protracted crisis (HRP),641.0,5.0,True
DJI,2016,74802183.0,HRP,Protracted crisis (HRP),0.0,0.0,False
SOM,2016,885189342.0,HRP,Protracted crisis (HRP),237.0,2.0,True
PSE,2016,571414014.0,HRP,Protracted crisis (HRP),0.0,0.0,False
HTI,2016,193786861.0,HRP,Protracted crisis (HRP),5027.0,32.0,True
UKR,2016,297907511.0,HRP,Protracted crisis (HRP),279.0,1.0,True
GTM,2016,56690000.0,HRP,Protracted crisis (HRP),1204.0,28.0,True
