iso3,projects,participations,mapped,first_year,name,appeal_usd,appeal_years,appealed,any_mapping
ABW,4.0,97.0,100.0,2018.0,Aruba,508973764.7881016,8.0,True,True
AFG,45.0,7376.0,82.37777777777778,2013.0,Afghanistan,20142532372.21212,13.0,True,True
AGO,22.0,2051.0,82.04545454545455,2017.0,Angola,522485872.8549783,6.0,True,True
AIA,2.0,183.0,100.0,2017.0,Anguilla,3006055.111111111,1.0,True,True
ALB,3.0,549.0,73.0,2015.0,Albania,0.0,0.0,False,True
ARG,21.0,1070.0,89.80952380952381,2016.0,Argentina,508973764.7881016,8.0,True,True
ASM,1.0,68.0,100.0,2016.0,American Samoa,0.0,0.0,False,True
ATG,2.0,344.0,100.0,2017.0,Antigua and Barb.,3006055.111111111,1.0,True,True
AUS,29.0,2174.0,71.03448275862068,2020.0,Australia,0.0,0.0,False,True
AZE,1.0,24.0,25.0,2019.0,Azerbaijan,0.0,0.0,False,True
BDI,31.0,3959.0,89.80645161290323,2013.0,Burundi,1319986855.3549783,10.0,True,True
BEN,47.0,3597.0,72.27659574468085,2013.0,Benin,33896666.666666664,1.0,True,True
BFA,52.0,6645.0,69.57692307692308,2013.0,Burkina Faso,4792584112.656566,13.0,True,True
BGD,177.0,31726.0,85.48587570621469,2013.0,Bangladesh,8164241973.212121,10.0,True,True
BGR,0.0,0.0,,,,345636831.9,3.0,True,False
BHS,6.0,171.0,66.66666666666667,2016.0,The Bahamas,3006055.111111111,1.0,True,True
BIH,3.0,316.0,36.0,2014.0,Bosnia and Herz.,0.0,0.0,False,True
BLM,0.0,0.0,,,,3006055.111111111,1.0,True,False
BLZ,23.0,1398.0,100.0,2015.0,Belize,0.0,0.0,False,True
BOL,16.0,1207.0,89.1875,2014.0,Bolivia,462873053.6631016,7.0,True,True
BRA,357.0,16912.0,87.86834733893558,2014.0,Brazil,508973764.7881016,8.0,True,True
BRB,13.0,890.0,94.6923076923077,2016.0,Barbados,0.0,0.0,False,True
BTN,10.0,543.0,98.2,2015.0,Bhutan,0.0,0.0,False,True
BWA,288.0,27111.0,91.48263888888889,2014.0,Botswana,0.0,0.0,False,True
CAF,244.0,12095.0,89.25409836065573,2013.0,Central African Rep.,5353438412.212121,13.0,True,True
CAN,56.0,4424.0,98.14285714285714,2018.0,Canada,0.0,0.0,False,True
CHL,7.0,582.0,99.85714285714286,2014.0,Chile,508973764.7881016,8.0,True,True
CHN,2.0,114.0,100.0,2013.0,China,0.0,0.0,False,True
CIV,59.0,4658.0,73.7457627118644,2014.0,Côte d'Ivoire,0.0,0.0,False,True
CMR,203.0,6521.0,72.96551724137932,2013.0,Cameroon,4084585357.6565657,13.0,True,True
COD,714.0,47169.0,92.97619047619048,2013.0,Dem. Rep. Congo,19049851266.21212,13.0,True,True
COG,4.0,204.0,88.0,2015.0,Congo,555777438.1883117,8.0,True,True
COL,355.0,32863.0,91.8225352112676,2013.0,Colombia,2635526469.454768,8.0,True,True
COM,8.0,469.0,80.625,2019.0,Comoros,0.0,0.0,False,True
CRI,10.0,453.0,83.0,2016.0,Costa Rica,508973764.7881016,8.0,True,True
CUB,4.0,603.0,75.25,2016.0,Cuba,176630692.0,4.0,True,True
CUW,5.0,330.0,91.2,2016.0,Curaçao,508973764.7881016,8.0,True,True
CZE,0.0,0.0,,,,345636831.9,3.0,True,False
DJI,5.0,462.0,90.0,2017.0,Djibouti,475315234.99545455,11.0,True,True
